"USER_ID_MOVIE_ID","PREDICTED_RATING"
1_34,3.4779379330617113
1_94,3.726720115639032
1_243,3.394888190324367
1_277,3.5967698562459214
1_335,3.7150256167063036
1_442,3.2557012134498025
1_567,3.6624486795809736
1_618,3.7076002736171185
1_750,3.519445120992729
1_837,3.737396282813765
1_839,3.594689388453498
1_963,3.8398077536102675
1_977,2.97561080868245
1_1146,3.7268853265993394
1_1224,3.450826498488491
1_1232,3.590665681610898
1_1281,3.7603114869290124
1_1284,3.6012708636794337
1_1288,3.728250598199827
1_1382,3.4478640483684933
1_1399,3.8032690569756875
1_1449,3.664337515901071
1_1452,3.749024825458767
1_1486,3.6034922761093036
1_1498,3.5964776127081564
2_14,3.2149664949728844
2_56,3.431052495097022
2_285,3.3441745601332356
2_441,3.374152242082159
2_1048,3.892029072435598
2_1119,3.818647903779742
2_1192,3.4786296274615127
2_1310,3.881469673491195
2_1409,3.0275180426186923
3_512,3.3683387044332944
3_552,3.1057365620511925
3_578,3.1630383864816016
3_1050,3.0027648777559577
3_1489,3.0783767310371015
4_242,3.9864326075583065
4_247,3.6759967663429824
4_265,4.0264872752879395
4_386,3.1511260150458718
4_409,3.5946545015191127
4_571,2.956259295964007
4_580,2.969576700768476
4_626,3.635474215230564
4_707,3.1456135232017814
4_971,3.619557944914091
4_1086,3.1207441342217446
4_1177,2.956259295964007
4_1192,3.4786296274615127
4_1229,3.420198187301704
4_1307,3.3505031448463334
4_1325,3.6773894251281916
4_1331,3.444403245005371
4_1382,3.5744479577754875
4_1398,3.9031072864812075
4_1409,3.0920007287661604
4_1510,3.8417839084828187
5_130,3.6207311725741307
5_390,3.306537878934583
5_408,3.0851139404877017
5_485,3.6029855902155923
5_595,3.6221361049964487
5_858,3.5019800054627006
5_878,3.161186095469453
5_1166,3.532204447883428
5_1252,3.2953067191593286
5_1373,3.948557411377098
5_1481,3.0286160690024415
6_81,2.97561080868245
6_403,3.0127717644729883
6_532,3.0952254680047253
6_878,3.161186095469453
6_886,3.0887580946876723
6_1489,3.0783767310371015
7_56,3.425696577134463
7_319,3.444746204032729
7_322,3.4757259609332465
7_341,3.3976552135780365
7_345,3.077085927419638
7_502,3.8780029356577104
7_512,3.2398425358509195
7_591,3.2827727292303606
7_812,3.557939973897421
7_1043,3.473782059460011
7_1061,3.0216133070156954
7_1152,3.515582411422885
7_1165,3.0913325770514253
7_1217,3.5090728940938734
7_1280,3.2303788067368577
7_1325,3.5332701146015473
7_1522,2.9815830072588865
8_80,2.956259295964007
8_224,3.101217419793364
