"USER_ID_MOVIE_ID","PREDICTED_RATING"
1_34,3.7996293605057803
1_94,3.806007689251979
1_243,3.527143176910385
1_277,3.679064143068978
1_335,3.882422865842342
1_442,3.6451251508643376
1_567,3.7741572894104793
1_618,3.848830225762895
1_750,3.8003547482643363
1_837,3.905135097018682
1_839,3.416078619665387
1_963,4.038537269935745
1_977,3.1277292171319275
1_1146,4.069490558661214
1_1224,3.615572890609306
1_1232,3.6465866465618966
1_1281,3.840479629433015
1_1284,3.8347652903294875
1_1288,3.809890941657455
1_1382,3.709267238472723
1_1399,3.761581129922212
1_1449,3.9958875316536604
1_1452,3.9226967426005652
1_1486,3.7723625502358304
1_1498,3.7873730647183343
2_14,3.2862854302367532
2_56,3.657897869603609
2_285,3.3857480020976083
2_441,3.406231877858189
2_1048,4.0783223261752495
2_1119,3.810606652783876
2_1192,3.2771191492090814
2_1310,4.045334461640826
2_1409,3.0530569444831737
3_512,3.7637772419675173
3_552,3.359055618054748
3_578,3.35883714878855
3_1050,3.360506246425233
3_1489,3.452620469706069
4_242,4.013995329640775
4_247,4.5690162994091965
4_265,4.304624062522978
4_386,3.4254485769571343
4_409,3.9478441508791993
4_571,2.928034312214738
4_580,2.7919637448652748
4_626,4.011573540187788
4_707,3.6411945346549683
4_971,3.9607978841188975
4_1086,3.4808380197977558
4_1177,3.218239018642815
4_1192,3.7201859051150317
4_1229,3.7440117476268964
4_1307,3.5337333036696577
4_1325,4.310865967487186
4_1331,3.795904836521557
4_1382,4.213684471634231
4_1398,4.1674699758055125
4_1409,3.40479447422936
4_1510,4.421800269307128
5_130,3.9329657388909736
5_390,3.3970818509719725
5_408,3.2856310691649093
5_485,3.8624948683385267
5_595,3.755225855554288
5_858,3.713408910906323
5_878,3.1745024774850528
5_1166,3.7429566237651417
5_1252,3.244211274044932
5_1373,4.117576639316384
5_1481,3.271767171471378
6_81,3.0142691308558365
6_403,2.886104902034211
6_532,3.234235697511736
6_878,3.254252132895867
6_886,3.1826585663044322
6_1489,3.2341107536056692
7_56,3.6156145288643557
7_319,3.6210754358585238
7_322,3.7301753071909
7_341,3.374763377916974
7_345,3.146077482107052
7_502,4.160823996177708
7_512,3.2573982802986423
7_591,3.4621071776054917
7_812,3.5983238072634935
7_1043,3.659663046222334
7_1061,3.030751226748693
7_1152,3.58347817457661
7_1165,3.26776176641203
7_1217,3.765898142145681
7_1280,3.0591820135014407
7_1325,3.973750240630329
7_1522,2.8704744753765117
8_80,3.736371290889902
8_224,3.5033437651623083
8_512,3.549885784524739
8_707,3.242460075655079
8_886,3.8104150158083248
8_1048,4.340800657119143
8_1471,3.711284474962996
8_1521,3.6365784504175496
9_39,3.3975689726328655
9_54,3.898738348944008
9_66,3.55655327948717
9_81,3.6486289056991263
9_83,3.4899854586391146
9_134,5.0
9_225,4.156994649935906
9_232,4.453186430035483
9_235,3.925547743129275
9_242,4.031415237365708
9_254,4.298421592508494
9_277,4.590893515917779
9_306,3.8496714290961602
9_313,3.53610483898988
9_327,3.879473539988828
9_341,4.2999058099638505
9_348,4.136194020149356
9_409,4.498692472548352
9_431,4.462331658630359
9_451,4.1821430265295465
9_454,3.979596273383503
9_457,3.3942565765478276
9_490,4.679798347629983
9_503,3.6965685912284596
9_518,3.4106152043663083
9_621,4.009467713928689
9_645,3.4570872486316864
9_705,3.5024520853153223
9_726,3.5670075939365993
9_739,3.5745011417997827
9_746,3.8779893161365773
9_767,4.349919987890292
9_800,5.0
9_890,3.6444566680581922
9_892,3.730631387917302
9_901,3.9922407249505847
9_911,3.2698692294564835
9_991,3.412123405101479
9_1022,4.105632206304061
9_1050,4.049201251934713
9_1090,3.4649684439530226
9_1141,3.123191202790578
9_1305,4.255525797618138
9_1318,4.03950827476636
9_1357,4.703937271915761
9_1361,3.97125798844296
